job,marital,education,housing,loan,contact,y
unemployed,married,primary,no,no,cellular,no
services,married,secondary,yes,yes,cellular,no
management,single,tertiary,yes,no,cellular,no
management,married,tertiary,yes,yes,unknown,no
services,married,secondary,yes,no,unknown,no
management,single,tertiary,no,no,cellular,no
self-employed,married,tertiary,yes,no,cellular,no
technician,married,secondary,yes,no,cellular,no
services,married,tertiary,yes,no,unknown,no
services,married,primary,yes,yes,cellular,no
services,married,secondary,yes,no,unknown,no
services,married,secondary,yes,no,cellular,no
technician,married,tertiary,no,no,cellular,no
unemployed,single,secondary,no,no,cellular,yes
services,married,secondary,yes,yes,cellular,no
management,married,tertiary,no,yes,cellular,no
technician,married,secondary,no,no,cellular,no
services,single,tertiary,yes,no,cellular,no
services,single,primary,yes,no,unknown,no
services,married,secondary,no,no,cellular,no
management,divorced,unknown,yes,no,cellular,no
management,divorced,tertiary,no,no,cellular,no
services,single,secondary,no,no,unknown,no
services,married,secondary,no,no,cellular,no
self-employed,married,tertiary,no,no,cellular,no
management,married,tertiary,no,no,cellular,no
services,married,primary,yes,no,unknown,no
retired,married,unknown,no,no,telephone,no
self-employed,married,secondary,no,yes,cellular,no
services,married,secondary,no,yes,cellular,no
retired,divorced,secondary,no,no,telephone,yes
technician,married,secondary,no,no,cellular,no
management,married,secondary,no,no,cellular,no
management,single,tertiary,yes,no,cellular,yes
technician,married,tertiary,no,no,cellular,yes
services,divorced,secondary,yes,no,unknown,no
retired,divorced,primary,no,no,telephone,yes
services,married,secondary,yes,no,cellular,yes
management,married,secondary,yes,no,cellular,yes
services,single,tertiary,yes,no,unknown,no
management,single,tertiary,yes,no,unknown,no
management,single,tertiary,no,no,cellular,no
services,married,secondary,yes,no,cellular,no
technician,married,tertiary,yes,no,cellular,no
technician,single,tertiary,yes,no,cellular,no
management,single,tertiary,yes,no,unknown,no
services,married,primary,no,no,telephone,no
services,married,primary,yes,no,unknown,no
services,single,primary,yes,yes,cellular,no
services,married,unknown,yes,no,cellular,yes
services,divorced,primary,no,no,unknown,yes
technician,single,secondary,yes,no,cellular,no
technician,single,secondary,no,no,cellular,no
technician,married,tertiary,yes,no,cellular,yes
services,married,secondary,yes,no,cellular,no
services,married,secondary,yes,no,telephone,no
management,married,secondary,no,yes,telephone,no
self-employed,single,tertiary,no,no,cellular,no
retired,single,secondary,yes,yes,unknown,no
technician,divorced,secondary,yes,yes,unknown,no
services,married,primary,no,yes,telephone,no
retired,married,secondary,yes,no,cellular,no
management,married,tertiary,no,no,cellular,no
services,married,secondary,no,no,cellular,no
services,married,secondary,no,no,cellular,no
services,divorced,secondary,yes,no,cellular,no
services,married,secondary,yes,no,cellular,no
technician,married,secondary,yes,no,cellular,no
management,married,secondary,no,yes,cellular,no
technician,single,tertiary,no,no,cellular,no
management,married,tertiary,no,no,cellular,yes
services,divorced,tertiary,yes,no,unknown,no
management,single,tertiary,yes,no,unknown,no
services,married,tertiary,yes,no,unknown,no
retired,married,secondary,yes,no,unknown,no
management,divorced,tertiary,no,no,cellular,no
services,divorced,secondary,yes,no,cellular,no
technician,single,secondary,no,yes,cellular,no
services,divorced,primary,no,no,cellular,no
unemployed,married,secondary,yes,no,cellular,no
services,divorced,secondary,yes,no,cellular,yes
retired,married,primary,no,no,cellular,no
services,single,secondary,yes,yes,cellular,no
services,married,secondary,no,no,telephone,yes
management,married,tertiary,no,no,cellular,yes
services,married,primary,yes,no,unknown,no
technician,single,secondary,no,yes,cellular,no
services,single,primary,yes,no,unknown,no
services,married,secondary,yes,no,cellular,no
services,married,secondary,yes,no,unknown,no
services,married,primary,no,no,cellular,no
services,married,primary,yes,no,unknown,no
services,single,secondary,yes,no,cellular,yes
management,single,tertiary,no,no,cellular,no
services,married,secondary,no,no,cellular,no
self-employed,single,tertiary,no,no,cellular,no
services,married,tertiary,yes,no,unknown,no
services,single,tertiary,no,no,cellular,no
services,divorced,secondary,no,no,cellular,no
unemployed,single,primary,no,no,cellular,yes
services,married,secondary,yes,no,unknown,no
management,single,tertiary,yes,no,cellular,no
technician,married,secondary,no,no,telephone,no
services,single,primary,yes,no,telephone,no
management,single,secondary,no,no,unknown,no
management,single,tertiary,yes,no,cellular,no
services,married,secondary,yes,yes,unknown,no
self-employed,married,tertiary,yes,no,cellular,no
unemployed,married,primary,no,no,cellular,yes
self-employed,married,primary,yes,no,cellular,no
unemployed,single,secondary,no,no,cellular,yes
management,married,tertiary,yes,no,telephone,no
self-employed,married,secondary,yes,yes,cellular,no
services,single,secondary,no,no,cellular,no
unemployed,single,secondary,no,no,telephone,yes
technician,single,secondary,no,yes,cellular,yes
services,married,secondary,yes,no,cellular,no
services,single,secondary,no,yes,cellular,no
services,married,primary,no,no,cellular,no
management,divorced,tertiary,no,no,unknown,no
services,divorced,secondary,yes,no,cellular,no
services,married,primary,no,no,cellular,no
technician,married,secondary,yes,no,unknown,no
services,married,secondary,no,yes,cellular,no
management,single,tertiary,yes,no,cellular,no
self-employed,single,tertiary,no,no,cellular,yes
unemployed,single,secondary,no,no,unknown,no
technician,single,secondary,no,yes,cellular,no
services,single,secondary,no,no,telephone,no
retired,divorced,tertiary,no,no,cellular,yes
services,married,primary,yes,no,cellular,no
services,married,primary,yes,no,unknown,no
services,married,unknown,yes,no,unknown,no
services,married,unknown,yes,no,cellular,no
technician,single,secondary,yes,no,unknown,no
management,single,tertiary,no,no,cellular,no
services,single,secondary,yes,yes,cellular,no
management,single,tertiary,no,no,cellular,no
management,married,tertiary,yes,no,cellular,yes
management,married,unknown,no,no,unknown,no
management,divorced,tertiary,no,no,cellular,no
management,single,tertiary,yes,no,cellular,no
services,divorced,unknown,yes,no,unknown,no
management,single,tertiary,yes,no,cellular,no
services,married,secondary,yes,yes,unknown,no
management,married,tertiary,no,yes,cellular,no
retired,married,primary,no,yes,unknown,no
technician,married,secondary,yes,no,cellular,no
services,married,secondary,yes,no,cellular,no
technician,single,unknown,yes,no,unknown,no
services,married,unknown,yes,no,unknown,no
management,single,tertiary,yes,yes,cellular,no
unemployed,divorced,primary,yes,yes,unknown,no
services,married,secondary,no,no,cellular,no
technician,married,secondary,no,no,unknown,no
technician,divorced,secondary,no,no,cellular,no
services,married,secondary,no,no,cellular,yes
technician,married,secondary,yes,no,cellular,no
self-employed,single,secondary,no,no,cellular,no
technician,married,secondary,yes,no,cellular,no
services,married,tertiary,no,no,unknown,no
services,single,secondary,yes,no,unknown,no
services,single,secondary,no,yes,unknown,no
services,married,secondary,yes,yes,unknown,no
management,single,tertiary,no,no,cellular,yes
services,single,secondary,yes,no,unknown,no
self-employed,married,secondary,no,no,telephone,no
services,divorced,secondary,yes,no,cellular,no
technician,married,tertiary,no,no,unknown,no
services,single,secondary,yes,yes,cellular,no
technician,married,secondary,no,no,unknown,no
management,single,tertiary,no,no,cellular,no
services,single,secondary,yes,yes,cellular,no
services,married,secondary,yes,no,cellular,no
management,married,tertiary,no,no,cellular,no
services,married,secondary,yes,yes,cellular,no
services,married,secondary,yes,yes,cellular,no
services,married,secondary,yes,no,cellular,no
self-employed,married,unknown,no,no,unknown,no
services,married,tertiary,yes,no,cellular,no
technician,single,tertiary,yes,yes,cellular,no
services,single,secondary,no,yes,cellular,no
services,single,secondary,yes,no,cellular,no
services,divorced,secondary,no,no,unknown,no
services,married,secondary,yes,no,unknown,no
self-employed,married,tertiary,yes,no,cellular,no
services,married,tertiary,yes,no,telephone,no
services,single,secondary,yes,no,cellular,no
technician,married,secondary,yes,no,cellular,no
retired,married,secondary,yes,no,cellular,yes
services,married,primary,yes,yes,telephone,no
self-employed,married,secondary,yes,no,cellular,no
management,single,tertiary,no,no,cellular,no
services,married,secondary,no,no,unknown,no
unemployed,single,secondary,no,no,cellular,no
